p,q,mse
2,1,1.0891371926850066
2,2,1.0730536422035633
2,3,1.0739155864886476
2,7,1.1289271732831452
2,8,1.060332525606649
4,1,1.0758074635885204
4,2,1.0745191258480913
4,3,1.0743198352068946
4,7,1.066169321476988
4,8,1.0740284978559893
8,1,1.0363745230105308
8,2,1.0528366836857324
8,3,1.0293357711383522
8,7,0.9154874296698879
8,8,1.0111961432874994
10,1,1.1634540051592608
10,2,1.1326756775206266
10,3,1.100263097667109
10,7,0.9708964165991953
10,8,0.942597664857693
