p,q,mse
1,1,1.0891371926850066
1,2,1.0730536422035633
1,3,1.0739155864886476
1,7,1.1289271732831452
1,8,1.060332525606649
3,1,1.0758074635885204
3,2,1.0745191258480913
3,3,1.0743198352068946
3,7,1.066169321476988
3,8,1.0740284978559893
7,1,1.0363745230105308
7,2,1.0528366836857324
7,3,1.0293357711383522
7,7,0.9154874296698879
7,8,1.0111961432874994
9,1,1.1634540051592608
9,2,1.1326756775206266
9,3,1.100263097667109
9,7,0.9708964165991953
9,8,0.942597664857693
